"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023
"통계분류(1)",통계분류(2),1회,2회,3회,4회 이상,관람 경험 없음,전체평균,관람자평균,표본수,1회,2회,3회,4회 이상,관람 경험 없음,전체평균,표본수,1회,2회,3회,4회 이상,관람 경험 없음,전체평균,관람자평균,표본수,1회,2회,3회,4회 이상,관람 경험 없음,전체평균,관람자평균,표본수,1회,2회,3회,4회 이상,관람 경험 없음,전체평균,관람자평균,표본수,1회,2회,3회,4회 이상,관람 경험 없음,전체평균,관람자평균,표본수,1회,2회,3회,4회 이상,관람 경험 없음,전체평균,관람자평균,표본수,1회,2회,3회,4회 이상,관람자평균
"전체",소계,8.7,3.1,0.6,2,85.6,0.49,3.44,10716,7.2,2.9,1.1,3.3,85.4,0.53,10558,14.5,4,1.1,1.4,78.9,0.35,1.66,10102,11.2,6.5,3.8,1.7,76.7,0.48,2.08,10099,4.3,1.7,0.5,0.7,92.8,0.16,2.23,10060,0.8,0.3,0.1,0.2,98.7,0.03,2.19,10139,5.5,1.4,0.3,0.2,92.6,0.11,1.52,1010,69.5,21.2,4.4,4.9,1.56
"성별",남성,8.3,2.8,0.5,2,86.5,0.42,3.13,5211,6.8,2.6,1.2,3.2,86.3,0.52,5257,13.4,4.1,0.8,1.2,80.6,0.31,1.58,4889,10.5,6.3,3.3,1.8,78.1,0.47,2.15,5016,3.4,1.8,0.6,0.6,93.7,0.16,2.55,4942,0.4,0.3,0,0.1,99,0.02,2.3,4577,4.4,1.1,0.2,0.2,94.1,0.09,1.46,399,70.1,19.3,5,5.5,1.61
"성별",여성,9,3.4,0.8,2,84.8,0.56,3.71,5505,7.7,3.2,1.1,3.5,84.5,0.54,5301,15.5,4,1.5,1.7,77.3,0.39,1.72,5213,11.9,6.8,4.4,1.6,75.4,0.5,2.02,5083,5.3,1.6,0.5,0.7,91.9,0.16,1.98,5118,1.2,0.3,0.1,0.2,98.3,0.04,2.12,5562,6.6,1.7,0.3,0.3,91.2,0.14,1.56,611,69.1,22.5,4,4.4,1.53
"연령별",15~19세,11.3,5.3,1.4,3.7,78.4,0.9,4.15,843,10.7,3.8,2.4,4.6,78.5,0.7,754,18.5,6.7,2.2,4,68.6,0.7,2.23,677,13.4,8.4,3.4,2.6,72.1,0.55,1.97,615,4.1,2.4,0.4,1.2,92,0.2,2.49,578,1.4,0.3,0.3,0.3,97.7,0.08,3.58,456,3.4,1.7,0.9,0.2,93.9,0.1,1.66,57,66.6,23.3,10.2,-,1.44
"연령별",20대,14.6,6.9,0.7,2.8,75,0.93,3.74,1531,12,5.4,1.9,3,77.7,0.58,1505,18,8,1.8,3,69.1,0.57,1.85,1573,13.8,7.8,4.6,2.4,71.5,0.6,2.11,1550,5.8,2.3,0.9,1.4,89.5,0.22,2.05,1496,0.8,0.5,0.2,0.4,98.2,0.04,2.47,1234,8.2,2.9,0.7,0.4,87.9,0.19,1.54,230,60.5,32.9,5,1.6,1.55
"연령별",30대,10.4,3,0.7,2,84,0.58,3.62,1757,7.4,2.8,1.1,3.7,85.1,0.63,1570,16.5,4.3,0.7,1.8,76.7,0.36,1.56,1640,11,6.1,3.8,2,77.1,0.48,2.11,1638,3.6,2.3,0.9,0.4,92.9,0.17,2.41,1565,0.8,0.3,-,0,98.9,0.02,1.45,1488,6.1,1.7,0.3,0.2,91.8,0.11,1.35,160,79.8,14.9,1,4.3,1.37
"연령별",40대,7.6,2.2,0.3,1.2,88.7,0.26,2.28,1988,6,2,0.8,3.4,87.8,0.52,1964,12.8,3.2,0.7,1.2,82.1,0.27,1.53,1894,10.4,6.5,4,1.4,77.7,0.47,2.1,1873,3.5,1.5,0.3,0.3,94.4,0.09,1.55,1786,0.6,0.3,0,0.1,99,0.02,1.99,1730,5.2,1.1,0.1,0.2,93.4,0.1,1.57,145,74.8,16.3,4.6,4.3,1.54
"연령별",50대,6.9,1.7,0.5,1.6,89.3,0.3,2.76,1969,5.3,2.6,1.1,3.3,87.7,0.43,2077,12.9,3.1,1.3,0.7,82.1,0.29,1.64,1925,10.5,7.9,4,1.8,75.8,0.51,2.1,1892,5,1.3,0.4,0.8,92.5,0.16,2.18,1886,1.3,0.3,0,0.3,98,0.04,2,2057,7.2,1.5,0.1,0.3,90.9,0.12,1.32,173,71.1,16.3,4.2,8.4,1.77
"연령별",60대,3.4,1.6,0.6,1.4,93,0.2,2.8,1315,5.7,2.5,0.6,2.9,88.4,0.44,1409,12.5,2.3,1.2,0.1,83.9,0.21,1.32,1335,9.9,4.9,2.9,0.8,81.5,0.37,2.02,1372,5.3,1.4,0.4,0.5,92.4,0.19,2.46,1479,0.9,0.3,0.1,0,98.7,0.02,1.7,1847,4.1,0.7,0,0.4,94.7,0.11,2.11,161,75.6,15.9,3.7,4.8,1.47
"연령별",70세이상,3.1,0.6,0.4,2.1,93.8,0.35,5.61,1313,4.8,1.5,0.6,3,90.2,0.44,1279,12.1,1.5,0.7,0.5,85.2,0.2,1.34,1058,10.6,4.3,3.6,1.3,80.1,0.41,2.07,1159,2.8,0.9,0.3,0.3,95.8,0.13,3.13,1270,0.1,0.1,-,0.1,99.7,0.01,5.04,1327,2.1,0.3,0.1,0.1,97.4,0.03,1.31,84,56.4,24.8,6.2,12.5,1.8
"학력별",초졸 이하,4.4,1.1,0.4,2,92.1,0.45,5.67,1261,4.7,2.3,0.7,3.2,89.2,0.51,1044,12.1,1.4,0.6,1.2,84.7,0.3,1.96,1118,9.3,4.3,3,1.4,82,0.39,2.14,1113,3.7,1.4,0.1,0.4,94.4,0.19,3.41,1233,0.2,0.1,0.1,0.2,99.5,0.04,7.98,683,1.7,-,0.1,0.1,98.1,0.03,1.33,35,65.9,25.5,4.7,3.9,1.47
"학력별",중졸,5.6,2.9,1.1,1.8,88.6,0.41,3.6,1518,7.8,2.6,1.3,3.7,84.6,0.55,1438,14.3,4.2,1.1,1.8,78.6,0.37,1.71,1096,11,5.1,4,1.4,78.4,0.43,1.97,1115,4,1.6,0.2,0.7,93.6,0.14,2.11,1079,0.8,0.2,-,0,98.9,0.02,1.35,1119,1.3,1,0.4,0.1,97.1,0.05,1.78,69,67.8,25.9,6.3,-,1.38
"학력별",고졸,7,2.8,0.6,2.2,87.4,0.41,3.3,4352,6.9,2.8,1.2,2.9,86.3,0.49,4333,14,3.7,1.4,1.3,79.6,0.34,1.68,4055,10.7,7.2,4,1.3,76.8,0.46,1.99,4111,4.2,1.5,0.6,0.6,93.1,0.17,2.42,3920,0.7,0.3,0.1,0.2,98.7,0.03,2.21,4230,5.8,1.4,0.1,0.4,92.3,0.13,1.64,349,70.5,20.4,5.2,3.9,1.48
