"예술행사(1)",2010,2012,2014,2016,2018,2019,2020,2021,2022,2023
"전체",67.2,69.6,71.3,78.3,81.5,81.8,60.5,33.6,58.1,58.6
"문학행사",3.8,6.1,6.2,5.8,8.9,6.7,2.6,1.2,2.4,1.9
"미술전시회",9.5,10.2,10.6,12.8,15.3,13.5,8.7,5,6.7,7.3
"서양음악",4.4,4.8,4.9,4.5,5.5,6.1,2.2,1.2,1.8,1.9
"전통예술",5.7,6.5,5.7,7.6,9.3,10.3,3.2,0.8,2.5,2.4
"연극",11.2,11.8,12.6,13,14.4,14.9,5.8,1.8,5.3,5.4
"뮤지컬",0,11.5,11.5,10.2,13,13.5,6.8,2.4,4.9,5.5
"무용",1.4,2,2.4,1.3,1.7,2.4,0.6,0.2,0.4,0.5
"영화",60.3,64.4,65.8,73.3,75.8,77,56.4,30.5,52.2,52.4
"대중음악, 연예",7.6,13.5,14.4,14.6,21.1,23.3,7.2,1.3,7.4,11
"전체(역사,철학 강의 및 역사탐방 포함)",0,-,-,79.3,-,-,-,-,-,-
"역사,철학강의및역사탐방",0,-,-,11.4,-,-,-,-,-,-
