"특성별(1)",특성별(2),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),사례수 (명),팬미팅(싸인회) 참석하기 (%),팬미팅(싸인회) 참석하기 (%),팬미팅(싸인회) 참석하기 (%),팬미팅(싸인회) 참석하기 (%),팬미팅(싸인회) 참석하기 (%),팬클럽이나 팬카페 활동하기 (%),팬클럽이나 팬카페 활동하기 (%),팬클럽이나 팬카페 활동하기 (%),팬클럽이나 팬카페 활동하기 (%),팬클럽이나 팬카페 활동하기 (%),팬클럽이나 팬카페 활동하기 (%),방송국이나 공연장 영화관(시사회) 경기장 행사장가기 (%),방송국이나 공연장 영화관(시사회) 경기장 행사장가기 (%),방송국이나 공연장 영화관(시사회) 경기장 행사장가기 (%),방송국이나 공연장 영화관(시사회) 경기장 행사장가기 (%),방송국이나 공연장 영화관(시사회) 경기장 행사장가기 (%),방송국이나 공연장 영화관(시사회) 경기장 행사장가기 (%),팬레터 쓰기 및 메시지 보내기 (%),팬레터 쓰기 및 메시지 보내기 (%),팬레터 쓰기 및 메시지 보내기 (%),팬레터 쓰기 및 메시지 보내기 (%),팬레터 쓰기 및 메시지 보내기 (%),팬레터 쓰기 및 메시지 보내기 (%),선물 보내기 (%),선물 보내기 (%),선물 보내기 (%),선물 보내기 (%),SNS 블로그 트위터 기사 등에 댓글 달기 (%),SNS 블로그 트위터 기사 등에 댓글 달기 (%),SNS 블로그 트위터 기사 등에 댓글 달기 (%),SNS 블로그 트위터 기사 등에 댓글 달기 (%),SNS 블로그 트위터 기사 등에 댓글 달기 (%),SNS 블로그 트위터 기사 등에 댓글 달기 (%),사진과 동영상 감상 및 업로드하기 (%),사진과 동영상 감상 및 업로드하기 (%),사진과 동영상 감상 및 업로드하기 (%),사진과 동영상 감상 및 업로드하기 (%),사진과 동영상 감상 및 업로드하기 (%),사진과 동영상 감상 및 업로드하기 (%),책 CD DVD 화보집 구입하기 (%),책 CD DVD 화보집 구입하기 (%),책 CD DVD 화보집 구입하기 (%),책 CD DVD 화보집 구입하기 (%),책 CD DVD 화보집 구입하기 (%),책 CD DVD 화보집 구입하기 (%),굿즈(응원봉 캐릭터 플래카드 인형 등) 만들기 또는 구입하기 (%),굿즈(응원봉 캐릭터 플래카드 인형 등) 만들기 또는 구입하기 (%),굿즈(응원봉 캐릭터 플래카드 인형 등) 만들기 또는 구입하기 (%),굿즈(응원봉 캐릭터 플래카드 인형 등) 만들기 또는 구입하기 (%),굿즈(응원봉 캐릭터 플래카드 인형 등) 만들기 또는 구입하기 (%),굿즈(응원봉 캐릭터 플래카드 인형 등) 만들기 또는 구입하기 (%)
"특성별(1)",특성별(2),소계,전혀없다,1년에 1~2번,한 달에 1번,한 달에 2~3번,1주일에 여러 번,전혀없다,1년에 1~2번,한 달에 1번,한 달에 2~3번,1주일에 1번,1주일에 여러 번,전혀없다,1년에 1~2번,한 달에 1번,한 달에 2~3번,1주일에 1번,1주일에 여러 번,전혀없다,1년에 1~2번,한 달에 1번,한 달에 2~3번,1주일에 1번,1주일에 여러 번,전혀없다,1년에 1~2번,한 달에 1번,한 달에 2~3번,전혀없다,1년에 1~2번,한 달에 1번,한 달에 2~3번,1주일에 1번,1주일에 여러 번,전혀없다,1년에 1~2번,한 달에 1번,한 달에 2~3번,1주일에 1번,1주일에 여러 번,전혀없다,1년에 1~2번,한 달에 1번,한 달에 2~3번,1주일에 1번,1주일에 여러 번,전혀없다,1년에 1~2번,한 달에 1번,한 달에 2~3번,1주일에 1번,1주일에 여러 번
"전체",소계,893,94.2,5.0,0.6,0.1,0.1,81.3,7.0,2.9,3.2,1.5,4.1,83.2,12.6,2.7,1.3,0.1,0.1,88.8,8.1,1.1,0.7,0.2,1.0,94.2,4.4,1.1,0.3,58.0,15.8,7.9,6.8,4.1,7.4,37.7,12.1,9.9,8.2,8.8,23.3,60.9,26.9,6.1,2.6,1.4,2.1,70.5,18.3,6.1,2.9,0.8,1.4
"성별",남자,420,95.3,3.8,0.9,0.0,0.0,87.5,5.3,2.6,1.8,1.0,1.8,83.3,11.1,3.5,2.0,0.2,0.0,91.2,7.7,0.7,0.5,0.0,0.0,94.2,4.4,1.2,0.2,64.8,15.8,6.5,4.7,2.4,5.8,44.9,11.2,10.3,4.3,7.3,21.9,72.7,19.9,3.6,1.3,0.4,2.0,80.7,13.6,3.3,1.0,0.0,1.4
"성별",여자,473,93.1,6.2,0.4,0.1,0.2,75.9,8.6,3.1,4.5,1.8,6.2,83.2,13.9,1.9,0.6,0.1,0.2,86.7,8.5,1.5,1.0,0.3,2.0,94.2,4.4,1.0,0.4,51.9,15.7,9.3,8.6,5.7,8.8,31.3,12.9,9.5,11.8,10.1,24.4,50.4,33.1,8.3,3.8,2.3,2.2,61.5,22.5,8.5,4.5,1.5,1.4
"학력별(부)",고졸 이하,228,93.5,6.5,0.0,0.0,0.0,77.8,8.5,3.2,4.7,2.1,3.7,83.6,11.4,2.6,2.1,0.3,0.0,86.1,10.7,0.9,0.9,0.0,1.5,92.2,7.2,0.2,0.4,55.6,16.0,7.0,9.3,3.0,9.0,34.0,9.5,9.2,10.9,6.4,29.9,51.9,30.3,9.7,3.1,1.9,3.1,65.3,19.0,8.6,5.1,0.8,1.1
"학력별(부)",대졸,548,94.3,4.5,0.9,0.1,0.2,83.0,6.4,2.8,2.2,1.5,4.1,82.2,13.6,2.7,1.2,0.1,0.2,90.2,7.1,1.1,0.7,0.1,0.8,94.8,3.5,1.3,0.3,59.1,15.1,8.3,6.0,5.1,6.5,39.2,12.7,11.4,7.8,8.5,20.5,64.2,24.6,5.7,2.7,1.3,1.6,72.4,18.3,5.2,2.0,0.8,1.4
"학력별(부)",대학원졸 이상,79,94.4,4.7,0.9,0.0,0.0,82.6,9.1,0.0,1.8,0.0,6.5,85.9,10.2,3.9,0.0,0.0,0.0,89.8,6.9,0.9,0.0,0.9,1.5,95.5,3.2,1.3,0.0,53.5,22.4,6.9,4.2,1.8,11.4,37.3,11.4,5.7,1.9,19.1,24.5,62.5,30.2,1.0,2.7,0.7,3.0,72.6,17.1,2.7,3.9,0.7,3.0
"학력별(부)",모름/무응답,39,95.8,4.2,0.0,0.0,0.0,76.5,2.9,7.0,11.4,0.0,2.1,90.6,9.4,0.0,0.0,0.0,0.0,82.8,10.2,4.1,1.8,0.0,1.0,94.3,3.9,1.8,0.0,64.6,11.1,11.0,8.2,2.2,3.0,39.9,20.1,1.0,12.1,6.2,20.7,63.3,32.7,1.2,0.0,1.8,1.0,68.9,17.5,10.8,0.0,1.8,1.0
