SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1733469941.949931, -0.011821, -11.723059, -2.142212, -0.166609, 0.342542, -0.356608, , , 
1733469941.959942, 0.554557, -12.349442, -2.350059, -0.149101, 0.392214, -0.472375, -18.354828, -74.201736, -648.229431
1733469941.969942, 1.289128, -12.496536, -2.169745, -0.107584, 0.324546, -0.545105, -18.087372, -74.165771, -648.816101
1733469941.979946, 1.954267, -12.594698, -2.248904, 0.012210, 0.194641, -0.572756, -17.735077, -73.908447, -648.411072
1733469941.989937, 2.254440, -13.143718, -2.817227, 0.255410, -0.058674, -0.559389, -17.387589, -73.917755, -648.476196
1733469941.999934, 2.094926, -13.357550, -3.113809, 0.489295, -0.258220, -0.560647, -17.226654, -74.024628, -647.998108
1733469942.009942, 0.943615, -13.753342, -2.824410, 0.697881, -0.522656, -0.672572, -17.305435, -74.110443, -648.262695
1733469942.019073, 0.369306, -14.308198, -2.530821, 0.789302, -0.778611, -0.837647, -17.237808, -74.167068, -647.834778
1733469942.029946, -0.024989, -14.136414, -2.398092, 0.800005, -0.914438, -1.008880, -16.772049, -74.227554, -647.713867
1733469942.039946, -0.306907, -14.150630, -2.571672, 0.759906, -0.960657, -1.190756, -16.597519, -74.229721, -648.342834
1733469942.049937, -0.861763, -13.998747, -2.971803, 0.693831, -0.864533, -1.386320, -16.433044, -74.265152, -647.491699
1733469942.059936, -1.404499, -13.734637, -3.972878, 0.670484, -0.613323, -1.595960, -16.073456, -74.205841, -647.733032
1733469942.069932, -1.757943, -13.324480, -5.080047, 0.758419, -0.300051, -1.792104, -15.325409, -74.148376, -646.968506
1733469942.079939, -2.002151, -13.034782, -5.697901, 0.938567, -0.033262, -2.017547, -14.864944, -73.830643, -646.534790
1733469942.089942, -1.959804, -12.584971, -5.664382, 1.171339, 0.089768, -2.254695, -14.114532, -73.779648, -646.797363
1733469942.099935, -1.695544, -11.741913, -5.190629, 1.446607, 0.042056, -2.478813, -13.208618, -73.787033, -645.924805
1733469942.109928, -1.355268, -10.978163, -4.439448, 1.709350, -0.145879, -2.712958, -12.606827, -73.501465, -645.851990
1733469942.119934, -0.902764, -10.153959, -3.646070, 1.921022, -0.391667, -2.922444, -11.642410, -73.683609, -644.588928
1733469942.129930, -0.456993, -9.056517, -3.096601, 2.097569, -0.653883, -3.094646, -10.637390, -73.254379, -643.860779
1733469942.139927, -0.322170, -8.244583, -2.605191, 2.242822, -0.940696, -3.265509, -9.644989, -73.113068, -644.233704
1733469942.149926, -0.105495, -7.477840, -2.268057, 2.347796, -1.186634, -3.422873, -9.109055, -72.809921, -643.192444
1733469942.159989, 0.449362, -6.499958, -2.133832, 2.418927, -1.357618, -3.525885, -7.940857, -72.540695, -643.617737
1733469942.168929, 1.024868, -5.386954, -1.942595, 2.458716, -1.468445, -3.561346, -7.191269, -72.324158, -642.783569
1733469942.179933, 1.505504, -4.316297, -1.863138, 2.454988, -1.443020, -3.550406, -6.247513, -71.638855, -641.722107
1733469942.189926, 1.846678, -3.253570, -1.772906, 2.387547, -1.291892, -3.506600, -5.641647, -71.159454, -641.677124
1733469942.199992, 1.967585, -2.296339, -1.427992, 2.262996, -1.109751, -3.479923, -4.790756, -70.987015, -641.032349
1733469942.209938, 1.880496, -1.468693, -0.753126, 2.132077, -1.051454, -3.503139, -4.107437, -70.344727, -642.093079
1733469942.218955, 1.608455, -0.857573, -0.266355, 2.038424, -1.060782, -3.595487, -3.136063, -69.543762, -640.846497
1733469942.229941, 1.840543, -0.306607, -0.062100, 1.955808, -1.093831, -3.681092, -2.585678, -68.685974, -640.291260
1733469942.239939, 2.382829, 0.457143, 0.285658, 1.864936, -1.186925, -3.727215, -1.707855, -67.986862, -641.107422
1733469942.249934, 2.839972, 1.159841, 0.680701, 1.758476, -1.292007, -3.744236, -0.871811, -66.948257, -639.960693
1733469942.259928, 3.440767, 1.732654, 0.837671, 1.615146, -1.305771, -3.693660, -0.383621, -65.912231, -641.055420
1733469942.268956, 4.602254, 2.481740, 0.702848, 1.442356, -1.250224, -3.537612, 0.345444, -64.889572, -640.781677
1733469942.279938, 5.805191, 3.055600, 0.669329, 1.259401, -1.132635, -3.289198, 0.469223, -63.767197, -640.317322
1733469942.289922, 7.173178, 3.089268, 0.471209, 1.073302, -0.954838, -2.970350, 1.198532, -63.052185, -641.224304
1733469942.299929, 9.058911, 3.281104, 0.282516, 0.959806, -0.760246, -2.542182, 1.131180, -62.311142, -640.552734
1733469942.309933, 11.030087, 3.796755, 0.251690, 0.950283, -0.643202, -2.052831, 1.094574, -61.766357, -641.096375
1733469942.318952, 12.399870, 3.621679, 0.746392, 1.031884, -0.778544, -1.643176, 1.032425, -61.538055, -642.047791
1733469942.329928, 12.903550, 2.506131, 1.583166, 1.139974, -1.126975, -1.369325, 0.374496, -61.334473, -641.680420
1733469942.339927, 12.714857, 1.515530, 2.100613, 1.205380, -1.396156, -1.310684, -0.119278, -61.066635, -642.598511
1733469942.349920, 12.538733, 0.596455, 2.074725, 1.146005, -1.281550, -1.479333, -0.573639, -60.851669, -642.283752
1733469942.359924, 13.989171, -0.358083, 2.627038, 0.856319, -1.116387, -1.726521, -1.128235, -60.267395, -643.194763
1733469942.368971, 16.743101, -1.817648, 3.868132, 0.427772, -1.201304, -1.924790, -1.253387, -59.693314, -643.482361
1733469942.379932, 19.672407, -3.119046, 4.054581, 0.024576, -1.478080, -1.956881, -1.087662, -59.002182, -644.040100
1733469942.389929, 22.490083, -3.973926, 2.357989, -0.254859, -1.661745, -1.748443, -1.619919, -58.094315, -645.088867
1733469942.399928, 24.525154, -4.701165, -0.196773, -0.407979, -1.666604, -1.378442, -1.701096, -57.550140, -645.321838
1733469942.409931, 24.961049, -5.547216, -2.176479, -0.492633, -1.422346, -0.982204, -1.838425, -56.802139, -646.537109
1733469942.418991, 24.601619, -6.159084, -3.293524, -0.646796, -0.918694, -0.642980, -2.029373, -56.419510, -646.946472
1733469942.429924, 23.443723, -6.268020, -3.629011, -0.767368, -0.260852, -0.393835, -1.798035, -56.170898, -646.305664
1733469942.439931, 21.536891, -6.078728, -2.833538, -0.899526, 0.204623, -0.336221, -1.774841, -55.564102, -647.052979
1733469942.449924, 19.602825, -5.655254, -0.919074, -1.059131, 0.391992, -0.456733, -1.634171, -55.299820, -646.363708
1733469942.459930, 17.545907, -4.737527, 0.077662, -1.109425, 0.377284, -0.777875, -1.397980, -54.625870, -647.196594
1733469942.469919, 15.258247, -4.086004, 0.674566, -1.010211, 0.102394, -1.348397, -1.441254, -53.806519, -647.565186
1733469942.479915, 13.872004, -2.970007, 0.774824, -0.729704, -0.282498, -2.064101, -1.133835, -52.728088, -646.656555
1733469942.489941, 14.364911, -0.913538, -0.039953, -0.348747, -0.664427, -2.664269, -0.969498, -51.536484, -647.617859
1733469942.499921, 16.152930, 0.813280, -0.928651, 0.031803, -1.096544, -3.040781, -0.481186, -50.311371, -646.959961
1733469942.509926, 18.033725, 2.748244, -1.705569, 0.464570, -1.561615, -3.038703, -0.075104, -48.999542, -648.355652
1733469942.519918, 20.438701, 4.967520, -2.630330, 0.896674, -1.865601, -2.523135, -0.149704, -48.328125, -648.863159
1733469942.529924, 22.869863, 6.602460, -3.075053, 1.221853, -2.016142, -1.638685, -0.345215, -48.350082, -648.485474
1733469942.539921, 23.840862, 7.349002, -3.176357, 1.416450, -1.876042, -0.620944, -0.111832, -48.483765, -649.696899
1733469942.549906, 23.805248, 8.358008, -2.956839, 1.435177, -1.461080, 0.550192, -0.173325, -49.247955, -650.233704
1733469942.559909, 22.867020, 9.839870, -2.667141, 1.346435, -0.747894, 1.775908, 0.011337, -50.531799, -650.093201
1733469942.569913, 21.048025, 11.307515, -1.762581, 1.126281, -0.027082, 3.020564, -0.512573, -52.222183, -649.505127
1733469942.579939, 18.923022, 12.778453, 0.036512, 0.766568, 0.593523, 4.212580, -0.203598, -54.308136, -649.211304
1733469942.589922, 16.776620, 13.915549, 1.674744, 0.302527, 0.946373, 5.360735, -0.071365, -56.621750, -648.203125
1733469942.599926, 15.103971, 14.833875, 3.359215, -0.116787, 0.835270, 6.533651, -0.815460, -58.911850, -648.197571
1733469942.609168, 13.147459, 15.577574, 4.256142, -0.394230, 0.445709, 7.733526, -1.748123, -61.725571, -648.399597
1733469942.619972, 10.165481, 16.347310, 4.341286, -0.595171, 0.056362, 8.893704, -3.725861, -64.569412, -648.586914
1733469942.629912, 6.511480, 17.158046, 4.392612, -0.845220, -0.225204, 9.956601, -5.729218, -67.435364, -648.294678
1733469942.639911, 3.330185, 18.519748, 4.138976, -1.125423, -0.376347, 10.999597, -8.934402, -70.110519, -649.142944
1733469942.649906, -0.087239, 20.344130, 3.488950, -1.376783, -0.260151, 12.001037, -12.188705, -72.560745, -649.374573
1733469942.659920, -6.082769, 22.122423, 3.663577, -1.708884, 0.089632, 12.649148, -17.466019, -74.364685, -650.393005
1733469942.669914, -16.935685, 21.067628, 5.848436, -2.450836, 0.063783, 12.081498, -22.440140, -75.490494, -651.484131
1733469942.679916, -28.005875, 14.894329, 9.252692, -3.503786, -0.744325, 10.164376, -25.861679, -74.954391, -653.449158
1733469942.689916, -34.030584, 9.156475, 6.774094, -4.053160, -1.171598, 7.718387, -28.104919, -74.216339, -654.736267
1733469942.699906, -34.851047, 6.243030, -0.999430, -3.736732, -1.132493, 5.503527, -29.871536, -72.779282, -655.759399
1733469942.709914, -32.973993, 3.277213, -6.882731, -2.868720, -1.117083, 3.718585, -31.058517, -71.795410, -656.627686
1733469942.719976, -29.761573, 1.422754, -10.834810, -1.698779, -1.044683, 2.433168, -31.931580, -71.504623, -656.591858
1733469942.729912, -28.307095, 0.154725, -12.903699, -0.378406, -1.086642, 1.327791, -32.333572, -71.412994, -657.233826
1733469942.739905, -28.545318, -2.102708, -13.311163, 0.840149, -1.099976, 0.252356, -32.625549, -71.597458, -656.699402
1733469942.749920, -28.183794, -3.570353, -12.678645, 1.696941, -0.975300, -0.694205, -32.907745, -72.551727, -656.227783
1733469942.759910, -27.146955, -4.821324, -11.506084, 2.132830, -0.563268, -1.586478, -32.435059, -73.243195, -655.446655
1733469942.769920, -25.802611, -6.454019, -10.115203, 2.225276, 0.069556, -2.480078, -31.518356, -74.021667, -654.962769
1733469942.779921, -24.246080, -7.827094, -7.848043, 2.056261, 0.620276, -3.388633, -30.276810, -74.490524, -654.272644
1733469942.789905, -22.196793, -9.037064, -5.335329, 1.749236, 0.922088, -4.295184, -28.877533, -75.011200, -653.996704
1733469942.799961, -19.541175, -9.927557, -3.692158, 1.452771, 0.952626, -5.171217, -27.222046, -74.967987, -653.830078
1733469942.809916, -16.034118, -10.504261, -3.252822, 1.284187, 0.736371, -6.016894, -25.429886, -74.720978, -653.568848
1733469942.819905, -11.128998, -11.012430, -4.018667, 1.295577, 0.284515, -6.654308, -23.324844, -74.475723, -653.018799
1733469942.829902, -5.364209, -11.452963, -6.432472, 1.593160, -0.041274, -7.003781, -21.555298, -74.117020, -652.376892
1733469942.839947, 0.515202, -11.386823, -9.679458, 2.294955, -0.048884, -7.058935, -20.259506, -73.927673, -651.108337
1733469942.849897, 5.749825, -10.575039, -11.336096, 3.200287, 0.184189, -6.982992, -18.677597, -73.953064, -650.636536
1733469942.859899, 10.666617, -10.221445, -9.165154, 3.828057, 0.257221, -6.975418, -17.371994, -73.514587, -649.396973
1733469942.869900, 15.350723, -9.865607, -4.270358, 3.827555, 0.140076, -7.043210, -15.082870, -72.838806, -648.104431
