SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1733469405.060755, -6.880038, -2.993051, -7.306206, 0.007084, 0.347000, -0.076222, , , 
1733469405.070739, -6.565649, -2.819621, -7.152977, 0.110007, 0.288073, -0.119061, -68.988647, -24.824280, -645.204285
1733469405.080744, -6.160730, -2.581698, -6.900239, 0.173031, 0.220961, -0.135983, -69.019257, -24.877136, -645.293152
1733469405.090785, -5.824644, -2.361132, -6.710798, 0.190713, 0.169102, -0.141276, -69.222916, -24.944870, -645.454590
1733469405.100754, -5.643732, -2.163311, -6.740575, 0.190850, 0.250869, -0.154658, -69.309784, -24.905670, -645.400269
1733469405.110758, -5.219060, -2.073828, -6.649745, 0.141486, 0.215768, -0.071343, -68.939285, -25.244705, -645.636597
1733469405.120769, -4.626047, -2.457349, -6.462848, 0.071020, 0.063181, 0.031716, -68.898666, -25.298019, -645.315247
1733469405.130765, -4.709694, -2.473809, -6.948272, 0.057771, 0.084673, 0.123984, -69.279449, -25.036224, -645.809204
1733469405.140752, -4.799776, -2.097470, -7.199963, 0.074407, 0.222825, 0.197089, -68.869751, -25.252167, -645.470947
1733469405.150758, -5.175965, -2.264167, -6.944681, 0.066038, 0.292018, 0.240449, -68.762238, -25.321854, -646.138733
1733469405.160746, -5.272331, -2.400486, -6.709750, 0.035678, 0.326782, 0.269020, -68.775635, -25.259872, -645.546326
1733469405.170741, -5.372140, -2.534711, -6.710498, 0.007469, 0.396991, 0.297054, -68.795303, -24.877747, -645.640381
1733469405.180300, -5.475689, -2.505981, -6.929568, -0.012401, 0.503287, 0.319591, -68.546738, -24.713898, -646.466797
1733469405.190751, -5.747131, -2.386121, -7.049577, -0.010752, 0.576367, 0.313876, -68.496277, -24.683762, -645.772522
1733469405.200769, -6.034436, -2.295291, -7.258621, 0.049768, 0.638418, 0.279154, -68.002838, -24.688034, -647.107483
1733469405.210746, -6.105663, -2.236933, -7.587973, 0.161501, 0.754370, 0.265640, -67.580490, -24.568253, -646.555542
1733469405.220744, -5.841254, -2.223914, -7.844003, 0.275318, 0.909013, 0.282183, -67.363541, -24.393646, -646.611938
1733469405.230757, -5.450101, -2.292747, -7.462427, 0.328869, 0.907285, 0.273309, -67.360336, -24.605804, -647.630005
1733469405.240816, -4.999692, -2.219126, -6.600365, 0.348640, 0.798364, 0.297525, -66.868942, -24.636536, -647.286194
1733469405.250750, -4.644602, -2.008137, -5.956774, 0.289712, 0.711404, 0.319010, -66.664719, -24.625702, -648.392029
1733469405.260762, -4.572327, -1.822586, -5.676951, 0.159434, 0.632216, 0.275734, -66.355652, -24.547470, -648.322937
1733469405.270754, -4.536713, -1.620426, -5.580435, 0.035471, 0.588672, 0.224412, -66.387573, -24.503113, -648.455688
1733469405.280309, -4.216488, -1.645565, -6.174796, -0.043216, 0.672149, 0.167983, -66.147171, -24.290634, -649.150940
1733469405.290748, -3.578134, -1.662923, -6.825719, -0.077612, 0.795454, 0.215547, -65.733673, -24.334869, -648.765991
1733469405.300742, -2.757222, -1.387440, -7.013514, -0.077659, 0.929995, 0.366841, -65.265839, -24.200882, -650.211914
1733469405.310743, -1.962348, -1.222539, -7.023540, -0.070586, 1.051355, 0.570869, -64.714081, -24.081131, -649.763123
