SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1733469658.721498, -7.929746, -5.330840, -8.917503, 0.089197, -0.205127, 0.563514, -73.398590, -31.250381, -640.318176
1733469658.731492, -8.983344, -5.652261, -9.050082, 0.099220, 0.034318, 0.663296, -73.545364, -30.883728, -640.532471
1733469658.741494, -10.066571, -5.811176, -9.392004, 0.062253, 0.405376, 0.674120, -73.257141, -30.618439, -640.779724
1733469658.751498, -10.814759, -6.052691, -9.815479, -0.057324, 0.863811, 0.608145, -73.161652, -30.430481, -641.112427
1733469658.761509, -11.163414, -5.895871, -10.025869, -0.064354, 1.131747, 0.459904, -72.790405, -30.248703, -641.463623
1733469658.771522, -11.374852, -5.572953, -10.201843, 0.090574, 1.183170, 0.273751, -72.753281, -30.309586, -642.304993
1733469658.781513, -11.502194, -5.805640, -9.938630, 0.314384, 1.047003, 0.022738, -72.568497, -30.379120, -641.892090
1733469658.791541, -11.139173, -5.373786, -9.190592, 0.616043, 0.691802, -0.235827, -72.574432, -30.842896, -643.045654
1733469658.801530, -10.628909, -5.043236, -8.530391, 0.930016, 0.162002, -0.473526, -72.355103, -31.518631, -642.542908
1733469658.811522, -10.162787, -4.930709, -7.788188, 1.221806, -0.420098, -0.693375, -72.752090, -32.123459, -642.759338
1733469658.821511, -9.703101, -4.678719, -7.078457, 1.428852, -0.919953, -0.876555, -73.004944, -33.000702, -642.592773
1733469658.831503, -9.248651, -4.481946, -6.553379, 1.537803, -1.269362, -1.010343, -73.615402, -34.056183, -641.793213
1733469658.841511, -8.769063, -4.337096, -6.201880, 1.565706, -1.427338, -1.095501, -73.973831, -34.717834, -642.330261
1733469658.851507, -8.270470, -4.023306, -5.842151, 1.502518, -1.362007, -1.099290, -74.115479, -35.784134, -641.013306
1733469658.861526, -8.036138, -3.781791, -5.407753, 1.345630, -1.124098, -1.055099, -74.677826, -36.560837, -640.672363
1733469658.871503, -7.893533, -3.674202, -4.871751, 1.116743, -0.826763, -1.000302, -74.896881, -37.068970, -640.622864
1733469658.881502, -7.718457, -3.580379, -4.465635, 0.878343, -0.519833, -0.924117, -75.160110, -37.907318, -640.353760
1733469658.891524, -7.720851, -3.636643, -4.254047, 0.675742, -0.265949, -0.870938, -75.332825, -38.675247, -640.478760
1733469658.901492, -7.821408, -3.828628, -4.179079, 0.555735, -0.107137, -0.860942, -75.436905, -39.021332, -640.087769
1733469658.911509, -7.785495, -3.966145, -4.183718, 0.545428, -0.065576, -0.876799, -75.432220, -39.681656, -639.880005
1733469658.921502, -7.646332, -4.037671, -4.055478, 0.618286, -0.139047, -0.920234, -75.737549, -40.347153, -640.820557
1733469658.931503, -7.594707, -4.109049, -3.826682, 0.728511, -0.319766, -0.991528, -76.013657, -41.057114, -640.212646
1733469658.941444, -7.821707, -4.377050, -3.560328, 0.855563, -0.529884, -1.124497, -76.402344, -41.666946, -640.334290
1733469658.951504, -8.220491, -4.508431, -3.410091, 0.995765, -0.619079, -1.338086, -76.370895, -42.810669, -639.869019
1733469658.961029, -7.972841, -4.623353, -2.758719, 1.058551, -0.831894, -1.510349, -76.542465, -43.783401, -638.872253
1733469658.971507, -7.343316, -5.091719, -2.218228, 1.076080, -1.136760, -1.639323, -76.724182, -44.938416, -639.288269
1733469658.981512, -7.048380, -4.796933, -2.253243, 1.117468, -1.309131, -1.749407, -76.901886, -46.254486, -638.009705
1733469658.991508, -6.747160, -4.401440, -2.084751, 1.172885, -1.431673, -1.852834, -77.507736, -47.088486, -637.696350
1733469659.001500, -6.321590, -4.286519, -1.677438, 1.229229, -1.572568, -1.933798, -77.657623, -48.437515, -636.530884
1733469659.011508, -5.677550, -4.267066, -1.200393, 1.270325, -1.719921, -1.976874, -77.788254, -49.662491, -635.082336
1733469659.021494, -5.071218, -4.071190, -0.587178, 1.291876, -1.925439, -1.980883, -78.268326, -50.933823, -634.549500
1733469659.031138, -4.637419, -4.001160, 0.064344, 1.299079, -2.165682, -1.975043, -78.390472, -52.062134, -633.168945
1733469659.041511, -4.138826, -4.017770, 0.716016, 1.242905, -2.359526, -1.934261, -78.631439, -52.956177, -632.486206
1733469659.051496, -3.577835, -3.794959, 1.381903, 1.083871, -2.521062, -1.840495, -78.603607, -54.081253, -631.261719
1733469659.061506, -3.136255, -3.523517, 1.866280, 0.838582, -2.621336, -1.708307, -79.155533, -55.086304, -629.111816
1733469659.071500, -2.832939, -3.505411, 2.038962, 0.557345, -2.646566, -1.562983, -79.368011, -55.600021, -628.596008
1733469659.081550, -2.645892, -3.540126, 2.016367, 0.282881, -2.613931, -1.423965, -79.327545, -56.645187, -627.075439
1733469659.091504, -2.535011, -3.551050, 1.821239, 0.060513, -2.542537, -1.304941, -79.623566, -57.021332, -626.934021
1733469659.101502, -2.324022, -3.779996, 1.584513, -0.101972, -2.463850, -1.202580, -79.708908, -57.787964, -625.513977
1733469659.111511, -2.044648, -4.087202, 1.483956, -0.221193, -2.424195, -1.115032, -79.693604, -58.444351, -623.932617
1733469659.121496, -1.738190, -4.216788, 1.639130, -0.311559, -2.426250, -1.033174, -79.781281, -58.832184, -623.695679
1733469659.131497, -1.358410, -4.150947, 2.067243, -0.410332, -2.459095, -0.944791, -79.992737, -59.339813, -621.828247
1733469659.141514, -1.061828, -3.941305, 2.514361, -0.533694, -2.519183, -0.858495, -79.992767, -59.622604, -621.276428
1733469659.151495, -0.868646, -3.690961, 2.818125, -0.688131, -2.595637, -0.782032, -79.966171, -59.837006, -620.315735
1733469659.161490, -0.633865, -3.417873, 3.049614, -0.869672, -2.658055, -0.708486, -79.964691, -60.285934, -618.918091
1733469659.171489, -0.306009, -3.079991, 3.142839, -1.081680, -2.709388, -0.625140, -80.086197, -60.424774, -618.339905
1733469659.181490, 0.044742, -2.782212, 3.061136, -1.314234, -2.753095, -0.527966, -80.310455, -60.618439, -617.061096
1733469659.191490, 0.541688, -2.641253, 2.828600, -1.546066, -2.791651, -0.395445, -80.126678, -60.709717, -616.514648
1733469659.201481, 0.868347, -2.441936, 2.494758, -1.765620, -2.853021, -0.248442, -80.138794, -60.895889, -615.260254
1733469659.211482, 1.038335, -2.022203, 2.133832, -1.930603, -2.944943, -0.104395, -80.160004, -61.034668, -613.837219
1733469659.221480, 1.359907, -1.608455, 1.736544, -2.036628, -3.059468, 0.053778, -80.173447, -60.683762, -613.618774
1733469659.231488, 1.747468, -0.918625, 1.417667, -2.103126, -3.202614, 0.270335, -80.293854, -60.470734, -612.053589
1733469659.241282, 2.110189, 0.128988, 0.967108, -2.152063, -3.294829, 0.580902, -80.449844, -60.070770, -611.824097
1733469659.251513, 2.379388, 1.052850, 0.368258, -2.201363, -3.283257, 0.959990, -80.256531, -59.709442, -610.374878
1733469659.261487, 2.685097, 1.668310, -0.295085, -2.250035, -3.181452, 1.409893, -80.336639, -59.050980, -609.128723
1733469659.271007, 2.904765, 2.212542, -0.751181, -2.306428, -3.045303, 1.899704, -80.336639, -59.050980, -609.128723
1733469659.281485, 2.859275, 2.978985, -1.236605, -2.362216, -2.885492, 2.409096, -80.617310, -56.502335, -606.832397
1733469659.291477, 2.706795, 4.134038, -1.781885, -2.396700, -2.685082, 2.965809, -80.973740, -55.140060, -607.075989
1733469659.301483, 2.303222, 5.269039, -2.141913, -2.445070, -2.443824, 3.565650, -81.037308, -53.116898, -605.970703
1733469659.311469, 1.461062, 6.426785, -2.571821, -2.533873, -2.174934, 4.184294, -81.152985, -51.281021, -604.995972
1733469659.321493, 0.264110, 7.858967, -3.250428, -2.659660, -1.813238, 4.807726, -81.152985, -51.281021, -604.995972
1733469659.331492, -1.161038, 8.846425, -4.211850, -2.861256, -1.325236, 5.379110, -81.428940, -48.649567, -605.116821
1733469659.341488, -3.125331, 9.313594, -5.198410, -3.122393, -0.876968, 5.795159, -81.566772, -46.045685, -604.737122
1733469659.351526, -5.284452, 9.773430, -6.628048, -3.261034, -0.662628, 6.000327, -81.758148, -43.253937, -605.237122
1733469659.361476, -7.562086, 10.349386, -8.307431, -3.095638, -0.801250, 6.020170, -81.616455, -40.515167, -604.721802
1733469659.370825, -9.546131, 11.554866, -9.758916, -2.658347, -1.202154, 5.977848, -81.019714, -37.888763, -604.405579
1733469659.381476, -11.091139, 12.991686, -11.045649, -2.095937, -1.707241, 5.959167, -80.359116, -35.098541, -603.011108
1733469659.391476, -12.382362, 13.893103, -12.577639, -1.507148, -2.064654, 5.990703, -78.824554, -31.960114, -601.594604
1733469659.401485, -13.582755, 14.804396, -14.553604, -1.010276, -2.059125, 6.141907, -77.550476, -29.071014, -600.755310
