SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1733468639.648516, 2.090587, -9.090185, -1.319055, -1.410943, 0.510119, -0.994117, -33.986084, -64.403519, -660.469238
1733468639.658497, 2.457648, -8.831312, -1.892467, -1.680098, 0.496831, -0.946472, -33.703140, -63.813065, -660.999207
1733468639.668512, 2.780716, -8.734197, -2.732383, -1.903937, 0.541723, -0.887201, -33.142654, -62.744339, -661.047974
1733468639.678534, 2.614468, -8.891915, -3.380613, -2.081446, 0.705496, -0.890483, -32.763275, -61.706268, -661.725708
1733468639.688513, 2.338387, -9.137321, -3.759944, -2.260241, 0.984133, -0.947404, -32.210602, -60.673889, -662.187561
1733468639.698527, 2.473360, -9.305364, -3.321955, -2.422939, 1.020279, -1.108245, -31.661591, -59.636124, -662.820374
1733468639.708510, 2.781165, -9.044546, -3.029114, -2.374261, 0.626252, -1.317652, -31.193283, -58.777084, -662.918701
1733468639.718530, 3.127276, -8.671050, -3.023727, -2.166111, -0.142034, -1.546640, -31.265045, -57.465103, -663.524048
1733468639.728505, 3.272874, -8.137143, -3.577536, -1.886471, -1.024898, -1.715775, -31.119202, -56.331787, -663.678345
1733468639.738514, 2.911200, -6.937349, -4.403685, -1.638109, -1.679214, -1.787141, -30.977570, -55.388901, -663.358398
1733468639.748500, 3.102137, -5.940912, -4.687548, -1.641825, -2.079379, -1.680470, -31.708420, -54.401871, -664.558594
1733468639.758505, 3.693355, -6.192902, -6.545747, -1.518957, -2.057921, -1.464947, -32.772552, -53.660812, -664.309570
1733468639.768514, 3.671059, -5.345654, -7.427711, -1.275606, -1.673753, -1.329084, -33.352295, -52.843964, -664.990417
1733468639.778513, 4.493318, -4.493468, -7.091775, -1.020707, -1.440857, -1.075478, -33.584946, -52.352325, -664.588013
1733468639.788504, 5.101296, -4.218583, -7.413496, -0.807596, -1.390725, -0.626434, -34.170410, -51.917267, -664.712708
1733468639.797705, 5.222951, -4.535067, -8.168268, -0.639594, -1.336173, -0.119660, -34.671814, -51.852478, -665.878601
1733468639.808521, 4.733786, -5.286397, -8.591144, -0.499474, -1.312424, 0.223869, -35.520660, -51.561600, -665.139648
1733468639.818572, 3.106028, -5.428852, -9.189694, -0.266954, -0.951339, 0.422745, -35.920273, -51.355667, -666.123169
1733468639.828504, 1.329680, -5.889437, -9.239823, 0.039407, -0.476326, 0.472264, -36.701569, -51.532944, -665.795288
1733468639.838504, 0.643591, -6.841431, -8.487894, 0.292750, -0.299142, 0.283713, -37.385880, -51.850449, -665.336182
1733468639.848499, 0.480337, -7.678953, -7.742848, 0.484287, -0.557052, -0.137680, -37.642563, -52.141098, -665.828735
1733468639.858511, 0.486023, -7.875876, -7.769035, 0.714143, -0.988274, -0.625517, -37.853378, -52.613281, -665.237244
1733468639.868307, 0.607978, -7.655161, -7.883956, 1.020480, -1.495906, -1.063610, -38.520004, -53.006378, -666.307251
1733468639.878502, 0.559345, -7.261464, -7.833080, 1.359634, -2.013343, -1.437182, -39.321976, -53.594879, -665.735718
1733468639.888501, 0.749385, -6.875698, -8.079982, 1.681794, -2.418049, -1.763666, -39.889969, -54.491257, -664.560181
1733468639.898518, 0.989105, -6.756437, -10.645219, 1.849854, -2.195509, -2.039830, -40.382721, -55.358047, -664.739441
1733468639.908592, 2.003049, -6.675633, -11.382633, 1.719992, -1.603929, -2.223235, -40.386398, -56.027878, -663.920288
1733468639.918517, 2.661006, -6.035782, -9.893889, 1.774400, -1.507159, -2.180647, -40.901031, -57.001770, -664.384277
1733468639.928509, 3.247286, -5.829582, -10.052953, 1.954834, -1.775905, -2.031876, -41.386459, -57.999969, -663.544800
1733468639.938523, 4.003704, -5.113416, -9.571719, 2.300349, -2.238050, -1.780115, -41.965591, -59.512054, -663.092468
1733468639.948506, 4.740669, -4.464588, -10.172963, 2.741801, -2.714371, -1.410777, -42.856018, -60.406464, -662.256226
1733468639.957640, 5.159056, -4.073884, -11.159823, 3.192183, -2.807233, -0.943899, -44.883072, -61.959274, -661.010010
1733468639.968493, 5.378424, -5.746982, -10.768820, 3.221164, -2.673195, -0.751316, -46.501114, -63.510651, -661.185730
1733468639.978519, 5.032313, -8.763227, -9.405472, 2.604228, -2.471688, -1.062956, -46.511200, -64.277252, -660.693726
1733468639.988506, 4.385130, -8.996362, -9.950452, 1.924463, -1.957082, -1.400922, -46.386154, -65.373611, -658.761841
1733468639.998505, 5.061642, -7.486968, -11.147702, 1.565709, -1.180131, -1.382386, -46.464828, -65.964539, -658.774780
1733468640.008511, 6.414665, -6.434267, -10.869227, 1.491106, -0.850160, -1.087882, -46.664658, -66.737274, -658.155640
1733468640.018301, 6.419004, -5.762095, -10.348787, 1.528050, -1.000307, -0.762849, -47.068466, -67.402237, -657.839600
1733468640.028509, 5.588965, -5.082740, -10.523564, 1.638803, -1.352963, -0.492488, -47.647141, -68.218475, -657.192993
1733468640.038510, 4.977096, -4.963330, -10.929082, 1.752559, -1.632992, -0.276684, -47.878128, -69.035858, -655.969360
1733468640.048500, 4.599710, -5.127781, -10.774506, 1.812807, -1.785447, -0.126157, -48.532486, -69.869217, -655.897766
1733468640.058511, 4.434959, -4.996250, -9.546879, 1.848963, -2.223471, 0.045672, -49.732376, -70.686127, -654.552673
1733468640.068497, 4.029890, -4.772542, -8.307730, 1.885919, -3.047768, 0.202775, -51.155716, -71.318649, -654.338745
1733468640.078498, 2.988712, -5.120898, -8.752752, 2.024833, -3.701416, 0.208470, -52.849304, -72.321640, -652.895691
1733468640.088502, 1.790115, -6.568642, -9.968109, 2.305672, -3.907624, 0.008996, -54.386017, -73.151108, -650.971802
1733468640.098492, 1.081281, -7.571513, -10.473435, 2.484195, -3.861352, -0.483590, -54.810089, -74.019089, -650.156982
1733468640.108552, 0.628777, -7.476344, -10.594342, 2.571149, -3.683869, -0.940063, -55.455750, -75.275955, -648.102844
1733468640.118502, 0.567426, -6.702867, -10.321852, 2.650530, -3.445535, -1.201875, -56.138687, -76.279236, -647.594543
1733468640.128493, 0.497994, -6.814646, -9.565733, 2.638067, -3.224370, -1.477612, -56.597031, -77.295181, -645.606812
1733468640.138503, 0.909198, -6.675782, -7.759458, 2.606726, -3.419677, -1.770218, -56.431808, -78.684433, -643.672852
1733468640.148513, 0.868946, -6.083966, -7.036409, 2.620463, -3.845301, -1.980376, -56.440826, -79.516113, -642.101807
1733468640.158502, 0.786495, -5.362413, -7.092074, 2.715485, -4.252835, -2.075935, -56.375366, -80.524445, -639.672729
1733468640.168350, -0.290147, -5.165640, -7.750779, 2.827842, -4.231906, -2.121059, -56.020950, -81.434006, -638.223389
1733468640.178500, -1.440262, -5.552303, -8.229470, 2.810321, -3.641949, -2.152107, -55.883560, -82.480087, -636.816528
1733468640.188490, -1.814805, -6.212953, -7.525874, 2.561418, -2.869882, -2.231903, -55.261383, -83.453156, -634.631348
1733468640.198496, -2.021155, -6.434267, -6.278495, 2.218390, -2.334643, -2.355242, -54.501511, -84.093307, -633.700012
1733468640.208518, -2.183662, -5.996278, -5.447258, 1.983600, -2.038002, -2.498262, -54.501511, -84.093307, -633.700012
