배송년월일,송하인_시명,송하인_시코드,송하인_구명,송하인_구코드,수하인_시명,수하인_시코드,대분류_착지물동량 가구/인테리어,대분류_착지물동량 기타,대분류_착지물동량 도서/음반,대분류_착지물동량 디지털/가전,대분류_착지물동량 생활/건강,대분류_착지물동량 스포츠/레저,대분류_착지물동량 식품,대분류_착지물동량 출산/육아,대분류_착지물동량 패션의류,대분류_착지물동량 패션잡화,대분류_착지물동량 화장품/미용
20231201,서울특별시,11,마포구,11440,울산광역시,31,21,63,65,145,119,25,101,16,162,153,115
20231201,서울특별시,11,도봉구,11320,경기도,41,153,403,77,654,747,160,656,136,3033,1277,106
20231201,서울특별시,11,도봉구,11320,충청북도,43,17,31,6,71,81,19,53,17,259,121,12
20231201,서울특별시,11,도봉구,11320,충청남도,44,35,47,7,106,98,26,77,23,371,133,15
20231201,서울특별시,11,도봉구,11320,전라북도,45,9,40,6,81,73,17,58,11,322,104,13
20231201,서울특별시,11,도봉구,11320,전라남도,46,17,33,0,79,72,9,72,13,274,122,8
20231201,서울특별시,11,도봉구,11320,경상북도,47,20,40,8,119,112,30,91,20,398,166,19
20231201,서울특별시,11,도봉구,11320,경상남도,48,22,89,15,110,147,32,129,23,566,218,20
20231201,서울특별시,11,도봉구,11320,제주특별자치도,50,5,6,0,8,22,3,16,4,64,24,8
20231201,서울특별시,11,도봉구,11320,강원특별자치도,51,16,33,5,80,90,17,55,13,254,113,11
20231201,서울특별시,11,성북구,11290,강원특별자치도,51,24,181,28,86,249,49,185,73,893,372,125
20231201,서울특별시,11,성북구,11290,제주특별자치도,50,13,175,10,18,50,12,32,16,287,94,34
20231201,서울특별시,11,성북구,11290,경상남도,48,56,559,37,156,419,87,352,139,1776,758,255
20231201,서울특별시,11,성북구,11290,경상북도,47,49,374,36,116,266,69,252,109,1269,567,172
20231201,서울특별시,11,성북구,11290,전라남도,46,33,465,27,97,202,75,183,86,860,418,98
20231201,서울특별시,11,성북구,11290,전라북도,45,27,273,38,96,212,49,159,77,978,445,104
20231201,서울특별시,11,성북구,11290,충청남도,44,61,371,35,139,304,80,264,116,1254,548,132
20231201,서울특별시,11,성북구,11290,충청북도,43,39,190,14,70,228,59,163,62,981,405,114
20231201,서울특별시,11,성북구,11290,경기도,41,368,1923,244,774,2097,514,1463,613,9884,4002,1087
20231201,서울특별시,11,성북구,11290,세종특별자치시,36,7,53,6,31,53,17,43,42,231,89,22
20231201,서울특별시,11,성북구,11290,울산광역시,31,16,114,15,47,212,44,114,43,644,262,76
20231201,서울특별시,11,성북구,11290,대전광역시,30,38,168,28,80,169,31,149,57,926,414,117
20231201,서울특별시,11,성북구,11290,서울특별시,11,276,1299,213,552,1441,309,1066,378,6999,3004,671
20231201,서울특별시,11,성북구,11290,부산광역시,26,75,447,44,139,642,118,343,121,1951,794,245
20231201,서울특별시,11,성북구,11290,대구광역시,27,42,273,40,90,301,78,208,92,1343,658,160
20231201,서울특별시,11,성북구,11290,인천광역시,28,71,431,52,173,430,136,318,151,2066,923,228
20231201,서울특별시,11,성북구,11290,광주광역시,29,31,197,31,71,161,46,135,54,1028,416,93
20231201,서울특별시,11,동대문구,11230,서울특별시,11,152,629,152,243,892,167,1184,184,2558,1447,265
20231201,서울특별시,11,관악구,11620,서울특별시,11,136,246,303,182,587,44,358,159,877,582,1974
20231201,서울특별시,11,관악구,11620,부산광역시,26,39,57,55,38,120,9,44,24,233,183,50
20231201,서울특별시,11,관악구,11620,대구광역시,27,45,31,34,28,86,5,47,17,159,121,32
20231201,서울특별시,11,관악구,11620,인천광역시,28,39,56,53,61,146,63,51,33,347,357,59
20231201,서울특별시,11,관악구,11620,광주광역시,29,12,27,24,22,67,10,21,7,97,85,21
20231201,서울특별시,11,관악구,11620,대전광역시,30,18,25,24,35,55,6,18,8,89,77,30
20231201,서울특별시,11,관악구,11620,울산광역시,31,12,20,16,16,46,4,19,14,57,54,12
20231201,서울특별시,11,관악구,11620,세종특별자치시,36,0,9,7,3,21,5,3,3,22,7,0
20231201,서울특별시,11,관악구,11620,경기도,41,201,324,266,239,648,84,286,155,1648,933,275
20231201,서울특별시,11,관악구,11620,충청북도,43,16,25,18,19,56,12,27,11,139,78,21
20231201,서울특별시,11,관악구,11620,충청남도,44,28,37,32,34,89,8,42,12,152,93,33
20231201,서울특별시,11,관악구,11620,전라북도,45,20,19,29,22,63,11,32,8,133,87,26
20231201,서울특별시,11,관악구,11620,전라남도,46,14,17,14,25,63,7,15,8,110,80,20
20231201,서울특별시,11,관악구,11620,경상북도,47,27,35,21,27,86,15,32,12,147,101,32
